OIDs used by Heimdal project.

Contact       heimdal-contact@h5l.org

Oid			Name

1.2.752.43.13		Heimdal GSS-API extentions
1.2.752.43.14		Heimdal GSS-API mechs
1.2.752.43.16		Heimdal Internal crypto ops


1.2.752.43.13.1		GSS_KRB5_COPY_CCACHE_X
1.2.752.43.13.2		GSS_KRB5_GET_TKT_FLAGS_X
1.2.752.43.13.3		GSS_KRB5_EXTRACT_AUTHZ_DATA_FROM_SEC_CONTEXT_X
1.2.752.43.13.4		GSS_KRB5_COMPAT_DES3_MIC_X
1.2.752.43.13.5		GSS_KRB5_REGISTER_ACCEPTOR_IDENTITY_X
1.2.752.43.13.6		GSS_KRB5_EXPORT_LUCID_CONTEXT_X
1.2.752.43.13.6.1	GSS_KRB5_EXPORT_LUCID_CONTEXT_V1_X
1.2.752.43.13.7		GSS_KRB5_SET_DNS_CANONICALIZE_X
1.2.752.43.13.8		GSS_KRB5_GET_SUBKEY_X
1.2.752.43.13.9		GSS_KRB5_GET_INITIATOR_SUBKEY_X
1.2.752.43.13.10	GSS_KRB5_GET_ACCEPTOR_SUBKEY_X
1.2.752.43.13.11	GSS_KRB5_SEND_TO_KDC_X
1.2.752.43.13.12	GSS_KRB5_GET_AUTHTIME_X
1.2.752.43.13.13	GSS_KRB5_GET_SERVICE_KEYBLOCK_X
1.2.752.43.13.14	GSS_KRB5_SET_ALLOWABLE_ENCTYPES_X
1.2.752.43.13.15	GSS_KRB5_SET_DEFAULT_REALM_X
1.2.752.43.13.16	GSS_KRB5_CCACHE_NAME_X
1.2.752.43.13.17	GSS_KRB5_CRED_NO_CI_FLAGS_X
1.2.752.43.13.18	GSS_KRB5_IMPORT_CRED_X

1.2.752.43.14.1		GSS_SASL_DIGEST_MD5_MECHANISM
